vstim11,vstim10,vstim13,vstim12,vstim15,vstim14,vstim16,vstim1,mask,vstim9,vstim8,vstim5,vstim4,vstim7,vstim6,aprime,vstim3,vstim2,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,instructStart,instructEnd,instructDur,isi,fixStart,primeStart,primeEnd,primeDur,chooseStart,chooseEnd,chooseDur,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,pic,buffer,resultStart,feedbkStart,image,resultEnd,resultDur,feedbkDur,targetStart,targetDur,date,frameRate,expName,session,participant
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/fireworks.ogg,stimuli/bell.png,stimuli/baby.png,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51391577721,,,,,,,,,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/carHorn.ogg,stimuli/bell.png,stimuli/baby.png,0,10,10,7,,,,,0,0,0,0,,,,,,1,192.90093112,195.903152943,197.904078007,2.00092506409,197.904098034,200.556425095,2.6523270607,-0.317857142857,0.0114285714286,1,0,0,pic9,,200.559527159,200.559527159,chimp,206.061933994,5.50240683556,3,204.059527159,2,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/carHorn.ogg,stimuli/bell.png,stimuli/baby.png,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34674787521,,,,,,,,,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/cow.ogg,stimuli/bell.png,stimuli/baby.png,0,11,11,13,0,0,0,0,,,,,,,,,,2,209.396759987,213.399276972,215.402169943,2.00289297104,215.402189016,218.386865139,2.98467612267,0.135714285714,0.514285714286,0,0,0,pic9,,,,,,,,,,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/cow.ogg,stimuli/bell.png,stimuli/baby.png,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0124309063,,,,,,,,,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/applause.ogg,stimuli/bell.png,stimuli/baby.png,0,12,12,6,,,,,0,0,0,0,,,,,,4,221.372581005,227.378008127,229.379575968,2.00156784058,229.379601002,231.796617031,2.41701602936,-0.27380952381,-0.291428571429,1,0,0,pic13,,231.799860954,231.799860954,fireworks,237.300740004,5.5008790493,3,235.299860954,2,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/applause.ogg,stimuli/bell.png,stimuli/baby.png,0,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581416130066,,,,,,,,,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/cat.ogg,stimuli/bell.png,stimuli/baby.png,0,13,13,0,,,,,0,0,0,0,,,,,,3,237.868378162,242.873054028,244.873245001,2.00019097328,244.873265028,246.658094168,1.78482913971,-0.330952380952,0.262857142857,1,0,0,pic5,,246.661200047,246.661200047,bowling,252.145308018,5.48410797119,3,250.161200047,2,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/cat.ogg,stimuli/bell.png,stimuli/baby.png,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21497988701,,,,,,,,,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
stimuli/dog.png,stimuli/cuckooClock.png,stimuli/fireworks.png,stimuli/deskBell.png,stimuli/ghost.png,stimuli/cow.png,stimuli/harp.png,stimuli/cat.png,stimuli/square.png,stimuli/chimp.png,stimuli/carHorn.png,stimuli/bowling.png,stimuli/bird.png,stimuli/applause.png,stimuli/bugle.png,stimuli/harp.ogg,stimuli/bell.png,stimuli/baby.png,0,14,14,15,,,,,0,0,0,0,,,,,,2,254.347602129,258.350048065,260.351915121,2.00186705589,260.351935148,262.803589106,2.45165395737,0.278571428571,-0.0438095238095,1,0,0,pic12,,262.807078123,262.807078123,deskBell,268.307672977,5.50059485435,3,266.307078123,2,2018_Jan_30_0936,29.9765722266,AudVis-Working,1,AudVis-01
